"","seqnames","start","end","width","flank.5","flank.3","total.width"
"1","chr1",181578,181600,23,1,144,168
"2","chr1",376202,376219,18,51,76,145
"3","chr1",604402,604419,18,51,76,145
"4","chr1",827588,827610,23,74,64,161
"5","chr1",869463,869520,58,52,66,176
"6","chr1",899025,899045,21,77,75,173
"7","chr1",959010,959032,23,4,17,44
"8","chr1",960278,960297,20,23,113,156
"9","chr1",984612,984657,46,9,12,67
"10","chr1",998744,998782,39,47,13,99
"11","chr1",1019942,1020044,103,3,57,163
"12","chr1",1020057,1020083,27,42,18,87
"13","chr1",1033686,1033833,148,58,8,214
"14","chr1",1040966,1041138,173,136,81,390
"15","chr1",1041107,1041142,36,140,32,208
"16","chr1",1048768,1048789,22,55,8,85
"17","chr1",1056609,1056634,26,90,80,196
"18","chr1",1113914,1113934,21,8,27,56
"19","chr1",1116461,1116480,20,136,39,195
"20","chr1",1166518,1166548,31,47,59,137
"21","chr1",1170468,1170574,107,25,116,248
"22","chr1",1266881,1266905,25,75,20,120
"23","chr1",1324763,1324806,44,1,13,58
"24","chr1",1349507,1349533,27,14,36,77
"25","chr1",1408765,1408791,27,74,40,141
"26","chr1",1423776,1423799,24,76,13,113
"27","chr1",1427958,1428214,257,1,2,260
"28","chr1",1435695,1435718,24,24,16,64
"29","chr1",1439720,1439755,36,17,63,116
"30","chr1",1452809,1452831,23,28,64,115
"31","chr1",1455217,1455243,27,53,6,86
"32","chr1",1460070,1460088,19,6,31,56
"33","chr1",1469286,1469304,19,132,6,157
"34","chr1",1472098,1472141,44,47,17,108
"35","chr1",1477678,1477725,48,78,66,192
"36","chr1",1483128,1483153,26,85,105,216
"37","chr1",1503955,1503981,27,102,89,218
"38","chr1",1510083,1510105,23,132,6,161
"39","chr1",1512486,1512520,35,42,13,90
"40","chr1",1521299,1521329,31,30,6,67
"41","chr1",1527959,1527976,18,75,35,128
"42","chr1",1540379,1540410,32,38,128,198
"43","chr1",1540606,1540639,34,12,27,73
"44","chr1",1540645,1540683,39,43,28,110
"45","chr1",1543051,1543075,25,54,71,150
"46","chr1",1546861,1546884,24,147,56,227
"47","chr1",1550174,1550191,18,55,48,121
"48","chr1",1584544,1584567,24,77,133,234
"49","chr1",1586902,1586938,37,8,21,66
"50","chr1",1587223,1587240,18,21,8,47
"51","chr1",1612524,1612574,51,8,43,102
"52","chr1",1650665,1650688,24,104,11,139
"53","chr1",1658919,1658950,32,56,44,132
"54","chr1",1679831,1679850,20,15,7,42
"55","chr1",1681989,1682040,52,36,70,158
"56","chr1",1694294,1694316,23,32,6,61
"57","chr1",1807699,1807725,27,77,121,225
"58","chr1",1902675,1902713,39,74,23,136
"59","chr1",1910044,1910083,40,15,12,67
"60","chr1",1912921,1912941,21,102,8,131
"61","chr1",1932067,1932100,34,133,18,185
"62","chr1",1941116,1941138,23,95,3,121
"63","chr1",1988825,1988873,49,73,53,175
"64","chr1",1995979,1996001,23,75,3,101
"65","chr1",2004502,2004524,23,5,144,172
"66","chr1",2004956,2004979,24,42,3,69
"67","chr1",2042766,2042788,23,79,74,176
"68","chr1",2054942,2054960,19,76,44,139
"69","chr1",2101520,2101540,21,86,17,124
"70","chr1",2143026,2143046,21,77,51,149
"71","chr1",2187281,2187322,42,9,6,57
"72","chr1",2192907,2192924,18,132,138,288
"73","chr1",2199392,2199421,30,22,13,65
"74","chr1",2202017,2202057,41,35,74,150
"75","chr1",2216127,2216151,25,142,97,264
"76","chr1",2222105,2222128,24,9,88,121
"77","chr1",2227952,2228009,58,2,18,78
"78","chr1",2228145,2228200,56,24,29,109
"79","chr1",2228416,2228436,21,38,28,87
"80","chr1",2287973,2288001,29,71,49,149
"81","chr1",2335348,2335368,21,134,51,206
"82","chr1",2428048,2428065,18,86,63,167
"83","chr1",2443833,2443863,31,6,3,40
"84","chr1",2529506,2529524,19,74,18,111
"85","chr1",2546254,2546273,20,1,51,72
"86","chr1",2629029,2629057,29,26,32,87
"87","chr1",2983072,2983097,26,43,52,121
"88","chr1",3029802,3029819,18,147,85,250
"89","chr1",3064306,3064324,19,4,70,93
"90","chr1",3069057,3069081,25,107,10,142
"91","chr1",3088751,3088788,38,64,144,246
"92","chr1",3088762,3088801,40,77,133,250
"93","chr1",3089916,3089941,26,51,83,160
"94","chr1",3148420,3148437,18,1,145,164
"95","chr1",3200910,3201011,102,100,142,344
"96","chr1",3240408,3240454,47,9,15,71
"97","chr1",3331451,3331474,24,29,2,55
"98","chr1",3390835,3390853,19,76,12,107
"99","chr1",3393846,3393868,23,37,8,68
"100","chr1",3409647,3410190,544,24,145,713
"101","chr1",3425076,3425095,20,76,50,146
"102","chr1",3538697,3538745,49,14,130,193
"103","chr1",3618017,3618034,18,65,38,121
"104","chr1",3625282,3625318,37,43,3,83
"105","chr1",3753307,3753340,34,10,92,136
"106","chr1",3772722,3772748,27,78,15,120
"107","chr1",3887627,3887645,19,6,99,124
"108","chr1",3900329,3900346,18,65,42,125
"109","chr1",3924895,3924926,32,65,5,102
"110","chr1",3929153,3930790,1638,49,94,1781
"111","chr1",3999084,3999107,24,68,3,95
"112","chr1",4124196,4124213,18,57,7,82
"113","chr1",4160908,4160925,18,76,88,182
"114","chr1",4211396,4211423,28,33,67,128
"115","chr1",4352525,4352570,46,4,74,124
"116","chr1",4500031,4500052,22,69,62,153
"117","chr1",4590142,4590168,27,9,41,77
"118","chr1",4639407,4639428,22,37,73,132
"119","chr1",4712267,4712286,20,50,66,136
"120","chr1",4712523,4712544,22,98,14,134
"121","chr1",4780599,4780647,49,74,56,179
"122","chr1",5595427,5595445,19,9,74,102
"123","chr1",5841685,5841707,23,24,74,121
"124","chr1",5895500,5895528,29,35,74,138
"125","chr1",5991752,5991775,24,99,31,154
"126","chr1",6141290,6141326,37,6,28,71
"127","chr1",6191360,6191383,24,145,81,250
"128","chr1",6203856,6203874,19,45,73,137
"129","chr1",6215332,6215349,18,106,7,131
"130","chr1",6230587,6230608,22,14,2,38
"131","chr1",6244973,6245081,109,64,36,209
"132","chr1",6260844,6260879,36,43,83,162
"133","chr1",6261038,6261055,18,72,8,98
"134","chr1",6261210,6261237,28,15,30,73
"135","chr1",6328680,6328703,24,108,76,208
"136","chr1",6335328,6335352,25,86,9,120
"137","chr1",6364847,6364873,27,77,75,179
"138","chr1",6394588,6394611,24,8,22,54
"139","chr1",6404708,6404758,51,19,6,76
"140","chr1",6419960,6419979,20,69,79,168
"141","chr1",6461152,6461170,19,18,59,96
"142","chr1",6504563,6504587,25,45,108,178
"143","chr1",6523580,6523603,24,77,73,174
"144","chr1",6694975,6694996,22,117,74,213
"145","chr1",6703835,6703868,34,76,79,189
"146","chr1",6728201,6728223,23,21,118,162
"147","chr1",6735644,6735687,44,76,3,123
"148","chr1",6744536,6744556,21,126,145,292
"149","chr1",6770094,6770125,32,72,6,110
"150","chr1",6785449,6785487,39,10,14,63
"151","chr1",6785677,6785702,26,31,43,100
"152","chr1",6860965,6860982,18,17,21,56
"153","chr1",7075663,7075680,18,8,34,60
"154","chr1",7221280,7221302,23,28,12,63
"155","chr1",7423470,7423490,21,97,74,192
"156","chr1",7467770,7467790,21,63,4,88
"157","chr1",7635609,7635627,19,94,74,187
"158","chr1",7680843,7680861,19,22,116,157
"159","chr1",7680862,7680883,22,44,97,163
"160","chr1",7704790,7704833,44,32,25,101
"161","chr1",7704953,7704988,36,51,1,88
"162","chr1",7748239,7748273,35,88,118,241
"163","chr1",7908296,7908315,20,36,46,102
