"","seqnames","start","end"
"1","chr1",180089,180998
"2","chr1",491150,491172
"3","chr1",726153,726175
"4","chr1",827588,827610
"5","chr1",1033686,1033833
"6","chr1",1040966,1041138
"7","chr1",1157312,1157352
"8","chr1",1181010,1181040
"9","chr1",1293961,1293982
"10","chr1",1349507,1349533
"11","chr1",1430831,1430849
"12","chr1",1439720,1439755
"13","chr1",1472098,1472141
"14","chr1",1540347,1540369
"15","chr1",1540379,1540410
"16","chr1",1540645,1540683
"17","chr1",1969121,1969494
"18","chr1",2194782,2194823
"19","chr1",2228145,2228200
"20","chr1",2428048,2428065
"21","chr1",2451026,2451043
"22","chr1",2526409,2526451
"23","chr1",2969526,2969552
"24","chr1",2983072,2983097
"25","chr1",3610470,3610502
"26","chr1",3625282,3625318
"27","chr1",3868592,3868718
"28","chr1",3924895,3924926
"29","chr1",3926943,3927531
"30","chr1",4162760,4162815
"31","chr1",4342482,4342508
"32","chr1",4673738,4673755
"33","chr1",4763748,4763824
"34","chr1",5991752,5991775
"35","chr1",6267462,6267487
"36","chr1",6517793,6517811
"37","chr1",6625746,6625769
"38","chr1",7057935,7057953
"39","chr1",7704790,7704833
"40","chr1",7704953,7704988
"41","chr1",8395754,8395777
"42","chr1",8423870,8423905
"43","chr1",8656236,8656259
"44","chr1",9042594,9042673
"45","chr1",9146287,9146365
"46","chr1",9234708,9234749
"47","chr1",9280363,9280435
"48","chr1",9689449,9689474
"49","chr1",9823863,9823881
"50","chr1",9897148,9897170
"51","chr1",9910038,9910082
"52","chr1",10630184,10630218
"53","chr1",10656783,10656811
"54","chr1",10794529,10794546
"55","chr1",11502154,11502189
"56","chr1",11648973,11649005
"57","chr1",11654822,11654873
"58","chr1",11736112,11736135
"59","chr1",11980519,11980536
"60","chr1",12496857,12496903
"61","chr1",15388281,15388309
"62","chr1",15617632,15617655
"63","chr1",16371384,16371403
"64","chr1",16383156,16383236
"65","chr1",16482472,16482497
"66","chr1",16499362,16499385
"67","chr1",17532045,17532062
"68","chr1",17851014,17851033
"69","chr1",18049211,18049630
"70","chr1",18088499,18088529
"71","chr1",18221059,18221078
"72","chr1",18547008,18547030
"73","chr1",18657753,18657774
"74","chr1",18769200,18769218
"75","chr1",18926328,18926345
"76","chr1",18956232,18956278
"77","chr1",19077738,19077776
"78","chr1",19486001,19486032
"79","chr1",19799913,19799931
"80","chr1",21176227,21176280
"81","chr1",21509299,21509360
"82","chr1",21653639,21653663
"83","chr1",22143155,22143200
"84","chr1",22284301,22284574
"85","chr1",22563614,22563635
"86","chr1",22875608,22875656
"87","chr1",24184469,24184493
"88","chr1",24599820,24599839
"89","chr1",25430046,25430070
"90","chr1",25800118,25800186
"91","chr1",25812557,25812606
"92","chr1",26280500,26280517
"93","chr1",26282324,26282417
"94","chr1",27497321,27497367
"95","chr1",27527865,27527897
"96","chr1",27568765,27568783
"97","chr1",27570873,27570890
"98","chr1",27599180,27599208
"99","chr1",28183891,28183915
"100","chr1",28756788,28756812
"101","chr1",29123931,29123957
"102","chr1",29236526,29236553
"103","chr1",29517904,29517932
"104","chr1",29698896,29698918
"105","chr1",29837417,29837437
"106","chr1",30592214,30592235
"107","chr1",30704436,30704470
"108","chr1",30902940,30902957
"109","chr1",30905300,30905333
"110","chr1",30908506,30908548
"111","chr1",31175764,31175806
"112","chr1",31413154,31413185
"113","chr1",31764067,31764098
"114","chr1",31937851,31937873
"115","chr1",32335865,32335885
"116","chr1",32339170,32339187
"117","chr1",32518990,32519017
"118","chr1",32641927,32641950
"119","chr1",32766897,32766919
"120","chr1",32893673,32893697
"121","chr1",33256451,33256473
"122","chr1",33256540,33256581
"123","chr1",33310297,33310381
"124","chr1",33441526,33441567
"125","chr1",34151776,34151817
"126","chr1",34610163,34610194
"127","chr1",34777206,34777224
"128","chr1",35216595,35216624
"129","chr1",35261636,35261719
"130","chr1",36126466,36126656
"131","chr1",36156309,36156330
"132","chr1",36493634,36493688
"133","chr1",37793761,37793795
"134","chr1",38859678,38859703
"135","chr1",38859718,38859767
"136","chr1",39639684,39639712
"137","chr1",39807594,39807702
"138","chr1",39999021,39999076
"139","chr1",40476726,40476753
"140","chr1",40626326,40626361
"141","chr1",40654113,40654180
"142","chr1",40666011,40666030
"143","chr1",41627864,41627897
"144","chr1",41662160,41662202
"145","chr1",42924886,42924923
"146","chr1",42936646,42936665
"147","chr1",42958185,42958208
"148","chr1",43366586,43366606
"149","chr1",43367822,43367873
"150","chr1",44259264,44259291
"151","chr1",44932117,44932140
"152","chr1",45723959,45723994
"153","chr1",45727469,45727510
"154","chr1",45788608,45788627
"155","chr1",46466507,46466524
"156","chr1",46488048,46488082
"157","chr1",47346864,47346881
"158","chr1",47439163,47439181
"159","chr1",47573308,47573341
"160","chr1",47997482,47997521
"161","chr1",50555213,50555264
"162","chr1",51519375,51519401
"163","chr1",51559427,51559468
"164","chr1",52164643,52164677
"165","chr1",52361541,52361561
"166","chr1",52602726,52602750
"167","chr1",54139956,54139973
"168","chr1",54401378,54401403
"169","chr1",54457651,54457670
"170","chr1",54486554,54486580
"171","chr1",54927280,54927313
"172","chr1",54999519,54999560
"173","chr1",56299584,56299637
"174","chr1",56498434,56498459
"175","chr1",56578777,56578805
"176","chr1",56579466,56579507
"177","chr1",57922971,57922995
"178","chr1",58799664,58799971
"179","chr1",59846489,59846588
"180","chr1",60287823,60287845
"181","chr1",62925299,62925369
"182","chr1",64745231,64745254
"183","chr1",67167941,67167980
"184","chr1",67833419,67833446
"185","chr1",68497227,68497254
"186","chr1",70004706,70004766
"187","chr1",71887993,71888036
"188","chr1",75797175,75797192
"189","chr1",75892378,75892412
"190","chr1",82977462,82977575
"191","chr1",84893245,84893272
"192","chr1",85344543,85344599
"193","chr1",86007238,86007261
"194","chr1",87183934,87183959
"195","chr1",87985427,87985447
"196","chr1",88467158,88467183
"197","chr1",90718005,90718032
"198","chr1",91683688,91683740
"199","chr1",93979954,93979976
"200","chr1",94820318,94820377
"201","chr1",95611995,95612044
"202","chr1",96126063,96126092
"203","chr1",97130671,97130892
"204","chr1",98909217,98909307
"205","chr1",101030862,101030885
"206","chr1",107227658,107227689
"207","chr1",108526925,108526952
"208","chr1",109465238,109465269
"209","chr1",109479453,109479498
"210","chr1",110254895,110254926
"211","chr1",110470087,110470158
"212","chr1",110607471,110607493
"213","chr1",113676009,113676026
"214","chr1",115683507,115683526
"215","chr1",115976466,115976500
"216","chr1",116444663,116444689
"217","chr1",119320165,119320205
"218","chr1",120421348,120421367
"219","chr1",120643544,120643643
"220","chr1",143317836,143317872
"221","chr1",143318267,143318296
"222","chr1",143318848,143318920
"223","chr1",143320332,143320355
"224","chr1",143321188,143321233
"225","chr1",143321353,143321398
"226","chr1",143321762,143321926
"227","chr1",143322185,143322233
"228","chr1",143322497,143322523
"229","chr1",143323034,143323121
"230","chr1",143323438,143323527
"231","chr1",143729646,143729671
"232","chr1",144101291,144106916
"233","chr1",144143200,144143236
"234","chr1",144143631,144143660
"235","chr1",144145696,144145719
"236","chr1",144146547,144146609
"237","chr1",144146728,144146773
"238","chr1",144147137,144147301
"239","chr1",144147560,144147608
"240","chr1",144147877,144147903
"241","chr1",144148414,144148501
"242","chr1",144148818,144148907
"243","chr1",144715216,144715305
"244","chr1",144817656,144817745
"245","chr1",144818062,144818149
"246","chr1",144818660,144818686
"247","chr1",144818955,144819003
"248","chr1",144819262,144819426
"249","chr1",144819790,144819835
"250","chr1",144819925,144820016
"251","chr1",144820844,144820867
"252","chr1",144822791,144822853
"253","chr1",144822903,144822932
"254","chr1",144823327,144823363
"255","chr1",144858554,144859417
"256","chr1",146228799,146228821
"257","chr1",147058409,147058446
"258","chr1",148362620,148362637
"259","chr1",148952732,148952749
"260","chr1",149896463,149896482
"261","chr1",150579759,150579814
"262","chr1",151291641,151291661
"263","chr1",151487149,151487252
"264","chr1",151561474,151561506
"265","chr1",152197395,152197444
"266","chr1",152495692,152495728
"267","chr1",152981813,152981835
"268","chr1",154776819,154776849
"269","chr1",154787324,154787359
"270","chr1",154877361,154877378
"271","chr1",156082822,156082856
"272","chr1",156591766,156591783
"273","chr1",159936759,159936777
"274","chr1",160098856,160098894
"275","chr1",160375494,160375530
"276","chr1",160410676,160410699
"277","chr1",161051319,161051364
"278","chr1",161132484,161132510
"279","chr1",161422265,161422303
"280","chr1",167669988,167670010
"281","chr1",168136700,168136722
"282","chr1",168657237,168657258
"283","chr1",171461861,171462018
"284","chr1",171983934,171983954
"285","chr1",174598979,174598996
"286","chr1",175579226,175579251
"287","chr1",178411166,178411193
"288","chr1",180632526,180632546
"289","chr1",181732591,181732613
"290","chr1",182952866,182952885
"291","chr1",183314884,183314928
"292","chr1",183331034,183331052
"293","chr1",184548215,184548274
"294","chr1",185989439,185989461
"295","chr1",188231695,188231768
"296","chr1",189224965,189225053
"297","chr1",197554101,197554148
"298","chr1",199170226,199170277
"299","chr1",200669789,200669806
"300","chr1",201254021,201254056
"301","chr1",201570664,201570681
"302","chr1",202245901,202246456
"303","chr1",203483276,203483311
"304","chr1",204674301,204674320
"305","chr1",204990307,204990327
"306","chr1",205278493,205278536
"307","chr1",205298007,205298039
"308","chr1",205680032,205680059
"309","chr1",205774790,205774814
"310","chr1",206523316,206524123
"311","chr1",206587614,206587641
"312","chr1",206752485,206752560
"313","chr1",207022500,207022533
"314","chr1",207645822,207645851
"315","chr1",208248502,208248533
"316","chr1",209231553,209231570
"317","chr1",209564054,209564076
"318","chr1",209639619,209639648
"319","chr1",212632038,212632067
"320","chr1",212950642,212950669
"321","chr1",214677778,214677843
"322","chr1",215627361,215627378
"323","chr1",216200947,216200970
"324","chr1",216201012,216201057
"325","chr1",217918489,217918520
"326","chr1",218346051,218346093
"327","chr1",220853462,220853496
"328","chr1",222472990,222473012
"329","chr1",224011691,224016553
"330","chr1",224183257,224183274
"331","chr1",224865214,224865257
"332","chr1",225614974,225615066
"333","chr1",227902189,227902206
"334","chr1",228158668,228158709
"335","chr1",228378490,228378507
"336","chr1",228641716,228641733
"337","chr1",228643957,228643974
"338","chr1",228781860,228782947
"339","chr1",230135697,230135714
"340","chr1",230869519,230869536
"341","chr1",231798108,231798146
"342","chr1",232683148,232683181
"343","chr1",235412135,235412256
"344","chr1",235445641,235445660
"345","chr1",235650093,235650137
"346","chr1",236142385,236142434
"347","chr1",236632829,236633250
"348","chr1",237054278,237054346
"349","chr1",237716755,237716783
"350","chr1",237988967,237988984
"351","chr1",238603392,238603409
"352","chr1",240550405,240550432
"353","chr1",243481780,243481805
"354","chr1",244048596,244048650
"355","chr1",244083360,244083399
"356","chr1",244096311,244096337
"357","chr1",245199304,245199329
"358","chr1",245205833,245205864
"359","chr1",247874815,247874832
"360","chr10",81322,81417
"361","chr10",931279,931316
"362","chr10",931286,931322
"363","chr10",931549,931569
"364","chr10",1132618,1132858
"365","chr10",1277933,1277953
"366","chr10",1891097,1891157
"367","chr10",3047233,3047261
"368","chr10",3432962,3432984
"369","chr10",6336400,6336453
"370","chr10",6413538,6413558
"371","chr10",6460816,6461302
"372","chr10",6640631,6640780
"373","chr10",7722954,7723249
"374","chr10",7974134,7974183
"375","chr10",8935079,8935285
"376","chr10",9237988,9238010
"377","chr10",11742312,11742382
"378","chr10",14101841,14101863
"379","chr10",14441844,14441866
"380","chr10",15223904,15223932
"381","chr10",17113270,17113293
"382","chr10",17454330,17454353
"383","chr10",19701664,19701763
"384","chr10",21516876,21516917
"385","chr10",21535112,21535147
"386","chr10",22203010,22203049
"387","chr10",22321391,22321460
"388","chr10",23331151,23331726
"389","chr10",23954573,23954632
"390","chr10",26192625,26192643
"391","chr10",27312256,27312536
"392","chr10",28302648,28302674
"393","chr10",28718001,28718097
"394","chr10",28901772,28902286
"395","chr10",29863329,29863354
"396","chr10",29904802,29904867
"397","chr10",30706415,30706457
"398","chr10",33864863,33864907
"399","chr10",34815493,34815529
"400","chr10",35192058,35192076
"401","chr10",35639445,35639494
"402","chr10",35999343,35999361
"403","chr10",36754323,36754392
"404","chr10",37729855,37729872
"405","chr10",38451737,38451759
"406","chr10",38737104,38737191
"407","chr10",38737477,38737564
"408","chr10",38737848,38737870
"409","chr10",38738356,38738404
"410","chr10",38738649,38738730
"411","chr10",38739317,38739427
"412","chr10",38740260,38740289
"413","chr10",38741685,38741746
"414","chr10",38742079,38742106
"415","chr10",38742186,38742248
"416","chr10",38783465,38819808
"417","chr10",38820724,38905991
"418","chr10",38911674,38913049
"419","chr10",38918722,38920347
"420","chr10",41856986,41916263
