"","seqnames","start","end","width","strand"
"1","chr1",55320,55330,11,"*"
"2","chr1",85988,86031,44,"*"
"3","chr1",86328,86345,18,"*"
"4","chr1",87080,87119,40,"*"
"5","chr1",629061,629081,21,"*"
"6","chr1",778562,778562,1,"*"
"7","chr1",778565,778565,1,"*"
"8","chr1",778567,778621,55,"*"
"9","chr1",778741,778765,25,"*"
"10","chr1",779197,779225,29,"*"
"11","chr1",783227,783240,14,"*"
"12","chr1",783281,783310,30,"*"
"13","chr1",784646,784665,20,"*"
"14","chr1",785002,785018,17,"*"
"15","chr1",785893,785931,39,"*"
"16","chr1",787958,787993,36,"*"
"17","chr1",788408,788438,31,"*"
"18","chr1",788443,788443,1,"*"
"19","chr1",794570,794582,13,"*"
"20","chr1",794994,795018,25,"*"
"21","chr1",800885,800917,33,"*"
"22","chr1",803538,803546,9,"*"
"23","chr1",811258,811265,8,"*"
"24","chr1",817128,817193,66,"*"
"25","chr1",817292,817368,77,"*"
"26","chr1",818776,818785,10,"*"
"27","chr1",819069,819070,2,"*"
"28","chr1",819086,819086,1,"*"
"29","chr1",819088,819255,168,"*"
"30","chr1",819455,819482,28,"*"
"31","chr1",819487,819487,1,"*"
"32","chr1",819905,819909,5,"*"
"33","chr1",821736,821799,64,"*"
"34","chr1",821836,821842,7,"*"
"35","chr1",825540,825541,2,"*"
"36","chr1",825679,825718,40,"*"
"37","chr1",825950,826006,57,"*"
"38","chr1",826219,826230,12,"*"
"39","chr1",829364,829386,23,"*"
"40","chr1",829388,829412,25,"*"
"41","chr1",829696,829711,16,"*"
"42","chr1",830037,830072,36,"*"
"43","chr1",831325,831386,62,"*"
"44","chr1",831490,831951,462,"*"
"45","chr1",832141,832260,120,"*"
"46","chr1",832621,832689,69,"*"
"47","chr1",833251,833262,12,"*"
"48","chr1",833415,833419,5,"*"
"49","chr1",833978,833984,7,"*"
"50","chr1",835046,835098,53,"*"
"51","chr1",836629,836633,5,"*"
"52","chr1",836645,836645,1,"*"
"53","chr1",836647,836682,36,"*"
"54","chr1",837258,837355,98,"*"
"55","chr1",838321,838433,113,"*"
"56","chr1",838628,838662,35,"*"
"57","chr1",839282,839292,11,"*"
"58","chr1",841166,841183,18,"*"
"59","chr1",841381,841533,153,"*"
"60","chr1",841622,841751,130,"*"
"61","chr1",841875,841936,62,"*"
"62","chr1",842696,842748,53,"*"
"63","chr1",843082,843130,49,"*"
"64","chr1",843274,843348,75,"*"
"65","chr1",843913,843936,24,"*"
"66","chr1",844056,844190,135,"*"
"67","chr1",844385,844418,34,"*"
"68","chr1",844546,844717,172,"*"
"69","chr1",844721,844732,12,"*"
"70","chr1",844737,844738,2,"*"
"71","chr1",844742,844767,26,"*"
"72","chr1",844918,844952,35,"*"
"73","chr1",845332,845372,41,"*"
"74","chr1",845545,845600,56,"*"
"75","chr1",845643,845654,12,"*"
"76","chr1",845717,845917,201,"*"
"77","chr1",846868,846887,20,"*"
"78","chr1",846890,846891,2,"*"
"79","chr1",846921,846930,10,"*"
"80","chr1",847565,847566,2,"*"
"81","chr1",847673,847718,46,"*"
"82","chr1",848063,848156,94,"*"
"83","chr1",848178,848178,1,"*"
"84","chr1",848180,848294,115,"*"
"85","chr1",848490,848563,74,"*"
"86","chr1",848760,848775,16,"*"
"87","chr1",848801,848804,4,"*"
"88","chr1",848890,848904,15,"*"
"89","chr1",849282,849322,41,"*"
"90","chr1",849327,849368,42,"*"
"91","chr1",849664,849778,115,"*"
"92","chr1",849801,849832,32,"*"
"93","chr1",850118,850151,34,"*"
"94","chr1",850246,850260,15,"*"
"95","chr1",850630,850631,2,"*"
"96","chr1",850633,850642,10,"*"
"97","chr1",851949,851968,20,"*"
"98","chr1",852967,852971,5,"*"
"99","chr1",854702,854703,2,"*"
"100","chr1",854944,854978,35,"*"
"101","chr1",855070,855196,127,"*"
"102","chr1",855376,855381,6,"*"
"103","chr1",855657,855696,40,"*"
"104","chr1",856363,856370,8,"*"
"105","chr1",856652,856765,114,"*"
"106","chr1",856804,856809,6,"*"
"107","chr1",858845,858852,8,"*"
"108","chr1",859424,859437,14,"*"
"109","chr1",859656,859763,108,"*"
"110","chr1",860932,860941,10,"*"
"111","chr1",861783,861784,2,"*"
"112","chr1",861927,861927,1,"*"
"113","chr1",862070,862114,45,"*"
"114","chr1",862136,862162,27,"*"
"115","chr1",862316,862325,10,"*"
"116","chr1",862702,862776,75,"*"
"117","chr1",862823,862848,26,"*"
"118","chr1",863550,863559,10,"*"
"119","chr1",863771,863805,35,"*"
"120","chr1",864667,864689,23,"*"
"121","chr1",864874,864885,12,"*"
"122","chr1",865192,865208,17,"*"
"123","chr1",865413,865526,114,"*"
"124","chr1",865636,865665,30,"*"
"125","chr1",865778,865783,6,"*"
"126","chr1",865875,866075,201,"*"
"127","chr1",866110,866260,151,"*"
"128","chr1",867195,867231,37,"*"
"129","chr1",867296,867329,34,"*"
"130","chr1",868988,868989,2,"*"
"131","chr1",868994,869105,112,"*"
"132","chr1",869535,869599,65,"*"
"133","chr1",869610,869620,11,"*"
"134","chr1",869715,869762,48,"*"
"135","chr1",869819,869891,73,"*"
"136","chr1",869894,869912,19,"*"
"137","chr1",869957,870003,47,"*"
"138","chr1",870055,870757,703,"*"
"139","chr1",870830,870904,75,"*"
"140","chr1",870908,870915,8,"*"
"141","chr1",870923,871005,83,"*"
"142","chr1",871188,871218,31,"*"
"143","chr1",871220,871220,1,"*"
"144","chr1",871222,871223,2,"*"
"145","chr1",871404,871530,127,"*"
"146","chr1",871667,871691,25,"*"
"147","chr1",871693,871694,2,"*"
"148","chr1",871701,871708,8,"*"
"149","chr1",871712,871787,76,"*"
"150","chr1",871843,871881,39,"*"
"151","chr1",871994,872054,61,"*"
"152","chr1",872064,872129,66,"*"
"153","chr1",872242,872505,264,"*"
"154","chr1",873222,873326,105,"*"
"155","chr1",873330,873342,13,"*"
"156","chr1",873346,873375,30,"*"
"157","chr1",874091,874094,4,"*"
"158","chr1",874096,874101,6,"*"
"159","chr1",874103,874109,7,"*"
"160","chr1",874384,874678,295,"*"
"161","chr1",874795,875125,331,"*"
"162","chr1",875189,875355,167,"*"
"163","chr1",875360,875365,6,"*"
"164","chr1",875501,875519,19,"*"
"165","chr1",875602,875604,3,"*"
"166","chr1",875608,875701,94,"*"
"167","chr1",876455,876502,48,"*"
"168","chr1",876505,876730,226,"*"
"169","chr1",879574,879610,37,"*"
"170","chr1",881109,881117,9,"*"
"171","chr1",882739,882758,20,"*"
"172","chr1",882809,882816,8,"*"
"173","chr1",883593,883636,44,"*"
"174","chr1",883638,883648,11,"*"
"175","chr1",884286,884317,32,"*"
"176","chr1",884566,884572,7,"*"
"177","chr1",884574,884575,2,"*"
"178","chr1",884757,884824,68,"*"
"179","chr1",885153,885175,23,"*"
"180","chr1",885446,885469,24,"*"
"181","chr1",885512,885514,3,"*"
"182","chr1",885517,885522,6,"*"
"183","chr1",885960,885962,3,"*"
"184","chr1",886092,886111,20,"*"
"185","chr1",886275,886305,31,"*"
"186","chr1",886509,886517,9,"*"
"187","chr1",886520,886533,14,"*"
"188","chr1",886537,886538,2,"*"
"189","chr1",886560,886585,26,"*"
"190","chr1",886870,887127,258,"*"
"191","chr1",887231,887424,194,"*"
"192","chr1",887495,887495,1,"*"
"193","chr1",887497,887530,34,"*"
"194","chr1",887665,887715,51,"*"
"195","chr1",888365,888399,35,"*"
"196","chr1",888878,889078,201,"*"
"197","chr1",889171,889234,64,"*"
"198","chr1",889983,889983,1,"*"
"199","chr1",890042,890046,5,"*"
"200","chr1",890936,891008,73,"*"
"201","chr1",891069,891069,1,"*"
"202","chr1",891073,891189,117,"*"
"203","chr1",891229,891264,36,"*"
"204","chr1",891302,891335,34,"*"
"205","chr1",891373,891399,27,"*"
"206","chr1",891504,891523,20,"*"
"207","chr1",891674,891697,24,"*"
"208","chr1",891782,891786,5,"*"
"209","chr1",892104,892108,5,"*"
"210","chr1",892480,892483,4,"*"
"211","chr1",892719,892751,33,"*"
"212","chr1",892890,892900,11,"*"
"213","chr1",893136,893229,94,"*"
"214","chr1",893298,893495,198,"*"
"215","chr1",894367,894409,43,"*"
"216","chr1",894797,894839,43,"*"
"217","chr1",895179,895190,12,"*"
"218","chr1",895782,895823,42,"*"
"219","chr1",896469,896497,29,"*"
"220","chr1",896648,896653,6,"*"
"221","chr1",896907,896909,3,"*"
"222","chr1",897100,897101,2,"*"
"223","chr1",897176,897182,7,"*"
"224","chr1",897184,897186,3,"*"
"225","chr1",897326,897591,266,"*"
"226","chr1",897794,897798,5,"*"
"227","chr1",897801,897830,30,"*"
"228","chr1",897968,898041,74,"*"
"229","chr1",898375,898548,174,"*"
"230","chr1",898701,899010,310,"*"
"231","chr1",899332,900953,1622,"*"
"232","chr1",900992,901067,76,"*"
"233","chr1",901121,901171,51,"*"
"234","chr1",901217,901224,8,"*"
"235","chr1",901240,902500,1261,"*"
"236","chr1",902681,902685,5,"*"
"237","chr1",902795,903212,418,"*"
"238","chr1",903236,903259,24,"*"
"239","chr1",903280,904225,946,"*"
"240","chr1",905204,907203,2000,"*"
"241","chr1",907580,908476,897,"*"
"242","chr1",910387,914666,4280,"*"
"243","chr1",914993,923749,8757,"*"
"244","chr1",924798,924919,122,"*"
"245","chr1",925705,928101,2397,"*"
"246","chr1",928406,930085,1680,"*"
"247","chr1",930151,933949,3799,"*"
"248","chr1",934996,936226,1231,"*"
"249","chr1",936475,937369,895,"*"
"250","chr1",937472,938298,827,"*"
"251","chr1",938318,939399,1082,"*"
"252","chr1",939477,940198,722,"*"
"253","chr1",940507,941708,1202,"*"
"254","chr1",942793,943474,682,"*"
