"","seqnames","start","end"
"1","chr1",44836,44876
"2","chr1",99047,99116
"3","chr1",150454,150489
"4","chr1",155996,156014
"5","chr1",180089,180998
"6","chr1",275619,275679
"7","chr1",297539,297674
"8","chr1",361899,361921
"9","chr1",425044,425066
"10","chr1",509051,509086
"11","chr1",514588,514606
"12","chr1",660785,660807
"13","chr1",750763,750798
"14","chr1",756304,756322
"15","chr1",1007747,1007780
"16","chr1",1010482,1010534
"17","chr1",1172733,1172793
"18","chr1",1172789,1172853
"19","chr1",1190814,1190842
"20","chr1",1470426,1470447
"21","chr1",1638938,1638958
"22","chr1",1720069,1720110
"23","chr1",1766678,1766700
"24","chr1",1804307,1804325
"25","chr1",1836388,1836409
"26","chr1",1838436,1838462
"27","chr1",1844195,1844239
"28","chr1",1885552,1885572
"29","chr1",1902675,1902713
"30","chr1",1998889,1998931
"31","chr1",2006904,2006921
"32","chr1",2088932,2088955
"33","chr1",2119767,2119801
"34","chr1",2162132,2162149
"35","chr1",2264262,2264284
"36","chr1",2423165,2423203
"37","chr1",2912383,2912400
"38","chr1",3088445,3088482
"39","chr1",3176029,3176347
"40","chr1",3176896,3177032
"41","chr1",3253189,3253210
"42","chr1",3370815,3371606
"43","chr1",3574633,3574660
"44","chr1",3758180,3758206
"45","chr1",3797844,3797868
"46","chr1",3836469,3836492
"47","chr1",3962457,3962476
"48","chr1",4099802,4100448
"49","chr1",4277615,4277646
"50","chr1",4402200,4402222
"51","chr1",4434439,4434456
"52","chr1",4521751,4521768
"53","chr1",5069498,5069550
"54","chr1",5075384,5075868
"55","chr1",5162739,5162761
"56","chr1",5253559,5253597
"57","chr1",5605462,5605501
"58","chr1",5678726,5679275
"59","chr1",5703898,5703924
"60","chr1",5814869,5814887
"61","chr1",5962171,5962193
"62","chr1",6037873,6037892
"63","chr1",6141290,6141326
"64","chr1",6233847,6233866
"65","chr1",6289689,6289709
"66","chr1",6301615,6301644
"67","chr1",6499787,6499805
"68","chr1",6551597,6551626
"69","chr1",6552449,6552478
"70","chr1",6609142,6609183
"71","chr1",6638688,6638705
"72","chr1",6639329,6639347
"73","chr1",6647081,6647102
"74","chr1",6714482,6714499
"75","chr1",6722130,6722158
"76","chr1",6742543,6742774
"77","chr1",6748677,6748729
"78","chr1",6767700,6767719
"79","chr1",6804177,6804197
"80","chr1",6927047,6927073
"81","chr1",6983983,6984089
"82","chr1",7033589,7033610
"83","chr1",7167732,7167763
"84","chr1",7180512,7180535
"85","chr1",7204767,7204794
"86","chr1",7244921,7244938
"87","chr1",7542260,7542282
"88","chr1",7730929,7730969
"89","chr1",7862975,7863127
"90","chr1",7882335,7882352
"91","chr1",7903371,7903395
"92","chr1",8005614,8005649
"93","chr1",8031409,8031428
"94","chr1",8054885,8054903
"95","chr1",8055766,8055787
"96","chr1",8142755,8142786
"97","chr1",8172622,8172644
"98","chr1",8242681,8242727
"99","chr1",8269179,8269201
"100","chr1",8271856,8271874
"101","chr1",8277854,8277880
"102","chr1",8291397,8291421
"103","chr1",8328031,8328060
"104","chr1",8405493,8405515
"105","chr1",8409972,8409999
"106","chr1",8511765,8511791
"107","chr1",8530675,8530702
"108","chr1",8550529,8550551
"109","chr1",8562478,8562505
"110","chr1",8635938,8636004
"111","chr1",8638784,8638808
"112","chr1",8650902,8650941
"113","chr1",8688570,8688591
"114","chr1",8734108,8734133
"115","chr1",8788363,8788381
"116","chr1",8819561,8819583
"117","chr1",8905001,8905024
"118","chr1",8973699,8973787
"119","chr1",9053042,9053581
"120","chr1",9123175,9123822
"121","chr1",9165672,9165690
"122","chr1",9217684,9217704
"123","chr1",9488067,9488096
"124","chr1",9497785,9497810
"125","chr1",9516765,9516791
"126","chr1",9532192,9532214
"127","chr1",9543132,9543158
"128","chr1",9550664,9550687
"129","chr1",9556926,9556943
"130","chr1",9570703,9570725
"131","chr1",9642095,9642116
"132","chr1",9681238,9681256
"133","chr1",9693208,9693230
"134","chr1",9760685,9760707
"135","chr1",9810778,9810816
"136","chr1",9930708,9930732
"137","chr1",9951463,9951482
"138","chr1",9963884,9963908
"139","chr1",9987644,9987682
"140","chr1",10001790,10001844
"141","chr1",10005202,10005228
"142","chr1",10010112,10010132
"143","chr1",10027936,10027964
"144","chr1",10076742,10076763
"145","chr1",10088357,10088397
"146","chr1",10103609,10103649
"147","chr1",10124159,10124177
"148","chr1",10167590,10167611
"149","chr1",10171893,10171911
"150","chr1",10177491,10177510
"151","chr1",10190177,10190222
"152","chr1",10197706,10197727
"153","chr1",10214277,10214298
"154","chr1",10290128,10290156
"155","chr1",10294861,10294878
"156","chr1",10364201,10364222
"157","chr1",10454857,10454879
"158","chr1",10455495,10455514
"159","chr1",10470423,10470442
"160","chr1",10501291,10501316
"161","chr1",10503731,10503753
"162","chr1",10577563,10577610
"163","chr1",10621343,10621364
"164","chr1",10738919,10738944
"165","chr1",10751074,10751105
"166","chr1",10843214,10843257
"167","chr1",10936183,10936235
"168","chr1",10950031,10950052
"169","chr1",11004426,11004445
"170","chr1",11055121,11055138
"171","chr1",11123410,11123429
"172","chr1",11136662,11136681
"173","chr1",11226362,11226384
"174","chr1",11289556,11289577
"175","chr1",11346776,11346795
"176","chr1",11377524,11377554
"177","chr1",11532695,11532718
"178","chr1",11567965,11567990
"179","chr1",11640506,11640542
"180","chr1",11744843,11744862
"181","chr1",11770973,11771001
"182","chr1",11846319,11846337
"183","chr1",11915932,11915953
"184","chr1",11936509,11936539
"185","chr1",11941468,11941494
"186","chr1",11967740,11967765
"187","chr1",11983039,11983069
"188","chr1",12094614,12094643
"189","chr1",12136871,12136895
"190","chr1",12211788,12211810
"191","chr1",12248326,12248361
"192","chr1",12256691,12256710
"193","chr1",12300208,12300225
"194","chr1",12322058,12322081
"195","chr1",12396921,12396946
"196","chr1",12413164,12413188
"197","chr1",12589368,12589406
"198","chr1",12606471,12606503
"199","chr1",12628824,12628843
"200","chr1",12647644,12647662
"201","chr1",12834935,12834969
"202","chr1",12837995,12838050
"203","chr1",12847031,12847091
"204","chr1",12889714,12889748
"205","chr1",12951103,12951137
"206","chr1",13059594,13059628
"207","chr1",13141909,13141937
"208","chr1",13167164,13167198
"209","chr1",13250655,13250689
"210","chr1",13272843,13272871
"211","chr1",13297921,13297943
"212","chr1",13312057,13312091
"213","chr1",13389006,13389024
"214","chr1",13407082,13407108
"215","chr1",13412022,13412081
"216","chr1",13435314,13435331
"217","chr1",13446980,13447004
"218","chr1",13471642,13471670
"219","chr1",13627584,13627651
"220","chr1",13671959,13671981
"221","chr1",13724498,13724515
"222","chr1",13757779,13757800
"223","chr1",13935253,13935270
"224","chr1",13963760,13963804
"225","chr1",14015460,14015497
"226","chr1",14040768,14040820
"227","chr1",14043483,14043500
"228","chr1",14072140,14072177
"229","chr1",14092083,14092110
"230","chr1",14137702,14137725
"231","chr1",14257944,14257992
"232","chr1",14548199,14548216
"233","chr1",14576284,14576505
"234","chr1",14652618,14652763
"235","chr1",14659228,14659268
"236","chr1",14747264,14747291
"237","chr1",14753578,14753608
"238","chr1",14858189,14858230
"239","chr1",14940899,14940929
"240","chr1",14969801,14969824
"241","chr1",14983948,14983974
"242","chr1",15015133,15015171
"243","chr1",15121608,15121638
"244","chr1",15136554,15136577
"245","chr1",15175404,15175433
"246","chr1",15417976,15418007
"247","chr1",15474610,15474637
"248","chr1",15558921,15558956
"249","chr1",15575919,15575937
"250","chr1",15613359,15613391
"251","chr1",15676385,15676426
"252","chr1",15698183,15698227
"253","chr1",15720129,15720160
"254","chr1",15769634,15769654
"255","chr1",15823843,15823865
"256","chr1",15844552,15844575
"257","chr1",15856566,15856585
"258","chr1",15859906,15859929
"259","chr1",15877739,15877761
"260","chr1",15902649,15902680
"261","chr1",15966911,15966937
"262","chr1",16193386,16193438
"263","chr1",16222738,16222756
"264","chr1",16269841,16269877
"265","chr1",16305389,16305411
"266","chr1",16309058,16309085
"267","chr1",16357163,16357204
"268","chr1",16388679,16388703
"269","chr1",16424909,16424933
"270","chr1",16464518,16464555
"271","chr1",16658233,16658267
"272","chr1",16676515,16676538
"273","chr1",16685349,16685368
"274","chr1",16721183,16721216
"275","chr1",17061084,17061104
"276","chr1",17062574,17062597
"277","chr1",17125403,17125422
"278","chr1",17182571,17182593
"279","chr1",17316691,17316751
"280","chr1",17329051,17329077
"281","chr1",17340791,17340820
"282","chr1",17343214,17343253
"283","chr1",17351428,17351463
"284","chr1",17445602,17445643
"285","chr1",17458257,17458275
"286","chr1",17481060,17481082
"287","chr1",17488590,17488611
"288","chr1",17513049,17513067
"289","chr1",17548647,17548671
"290","chr1",17638879,17638901
"291","chr1",17727622,17727775
"292","chr1",17947882,17947909
"293","chr1",17968846,17968925
"294","chr1",18691477,18691494
"295","chr1",18708557,18708574
"296","chr1",18864335,18864352
"297","chr1",18870752,18870769
"298","chr1",18964636,18964655
"299","chr1",18975503,18975528
"300","chr1",18979481,18979510
"301","chr1",18984795,18984841
"302","chr1",19188031,19188070
"303","chr1",19281021,19281055
"304","chr1",19359211,19359232
"305","chr1",19368663,19368680
"306","chr1",19373672,19373705
"307","chr1",19379087,19379116
"308","chr1",19443609,19443628
"309","chr1",19458338,19458360
"310","chr1",19497522,19497541
"311","chr1",19524389,19524412
"312","chr1",19559262,19559306
"313","chr1",19566786,19566807
"314","chr1",19573121,19573147
"315","chr1",19593684,19593701
"316","chr1",19611470,19611491
"317","chr1",19673861,19673879
"318","chr1",19755120,19755140
"319","chr1",19791309,19791338
"320","chr1",19849960,19849987
"321","chr1",19867846,19867863
"322","chr1",19939866,19939891
"323","chr1",19960359,19960380
"324","chr1",20019861,20019888
"325","chr1",20022633,20022689
"326","chr1",20068452,20068469
"327","chr1",20111921,20111982
"328","chr1",20119709,20119736
"329","chr1",20145605,20145632
"330","chr1",20273726,20274244
"331","chr1",20326189,20326206
"332","chr1",20326462,20326484
"333","chr1",20329263,20329316
"334","chr1",20381533,20381552
"335","chr1",20471305,20471344
"336","chr1",20514298,20514317
"337","chr1",20515011,20515031
"338","chr1",20557873,20557898
"339","chr1",20621027,20621071
"340","chr1",20646649,20646666
"341","chr1",20647467,20647488
"342","chr1",20673378,20673404
"343","chr1",20749342,20749374
"344","chr1",20822356,20822382
"345","chr1",20826482,20826508
"346","chr1",20869307,20869330
"347","chr1",20872714,20872736
"348","chr1",20939107,20939135
"349","chr1",20994629,20994646
"350","chr1",21067119,21067149
"351","chr1",21072383,21072420
"352","chr1",21163757,21163786
"353","chr1",21179779,21179804
"354","chr1",21181838,21181856
"355","chr1",21185847,21185876
"356","chr1",21209708,21209731
"357","chr1",21253035,21253071
"358","chr1",21353672,21353705
"359","chr1",21365690,21365726
"360","chr1",21403182,21403204
"361","chr1",21409305,21409328
